url,title,company,location,remote,job_type,date_posted,skills,number_of_skills
https://remoteOK.com/remote-jobs/remote-neurologist-tx-licensed-bc-pt-ft-fully-virtual-telemed2u-1131299,Neurologist TX Licensed BC PT FT Fully Virtual,TeleMed2U,Remote,True,Remote,2026-04-24 00:00:28+00:00,"management, health, healthcare, neurology, non tech",5
https://remoteOK.com/remote-jobs/remote-senior-account-executive-publishers-zeta-global-1131298,Senior Account Executive Publishers,Zeta Global,Remote,True,Remote,2026-04-24 00:00:13+00:00,"system, cloud, senior, marketing, sales, go, executive, ecommerce",8
https://remoteOK.com/remote-jobs/remote-strategy-operations-tldr-1131297,Strategy & Operations,TLDR,Remote,True,Remote,2026-04-24 00:00:03+00:00,"design, software, growth, strategy, management, operations, operational, go, engineering, digital nomad",10
https://remoteOK.com/remote-jobs/remote-applied-ai-engineer-europe-amigo-1131296,Applied AI Engineer Europe,Amigo,Amsterdam,True,Remote,2026-04-23 16:00:17+00:00,"system, python, technical, support, software, testing, code, investment, git, api, leader, operational, reliability, go, health, healthcare, engineer, engineering",18
https://remoteOK.com/remote-jobs/remote-ux-ui-designer-ai-application-0g-labs-1131295,UX UI Designer â AI Application,0g Labs,Remote,True,Remote,2026-04-23 16:00:11+00:00,"ui, ux, design, system, designer, technical, web, speech, strategy, health, digital nomad",11
https://remoteOK.com/remote-jobs/remote-corporate-counsel-may-mobility-1131294,Corporate Counsel,May Mobility,Remote,True,Remote,2026-04-23 16:00:04+00:00,"system, support, operations, marketing, legal, go",6
https://remoteOK.com/remote-jobs/remote-senior-backend-engineer-build-ai-agents-salesforge-1131292,Senior Backend Engineer Build AI Agents,Salesforge,Remote,True,Remote,2026-04-23 16:00:01+00:00,"golang, senior, sales, engineer, backend",5
https://remoteOK.com/remote-jobs/remote-bookkeeper-vidinext-1131290,Bookkeeper,Vidinext,Remote,True,Remote,2026-04-23 12:04:19+00:00,"other, accounting, finance",3
https://remoteOK.com/remote-jobs/remote-mid-senior-ai-video-artist-everai-1131288,Mid Senior AI Video Artist,EverAI,Remote,True,Remote,2026-04-23 08:11:46+00:00,"marketing, video, ai",3
https://remoteOK.com/remote-jobs/remote-account-executive-iii-sumo-logic-1131287,Account Executive III,Sumo Logic,Melbourne,True,Remote,2026-04-23 08:00:17+00:00,"saas, salesforce, security, technical, web, devops, cloud, management, lead, analytics, sales, executive",12
https://remoteOK.com/remote-jobs/remote-senior-director-sales-and-operations-planning-olly-1131286,Senior Director Sales and Operations Planning,OLLY,Remote,True,Remote,2026-04-23 08:00:07+00:00,"director, leader, senior, operations, sales, non tech",6
https://remoteOK.com/remote-jobs/remote-vp-creative-director-noodle-1131284,VP Creative Director,Noodle,"Remote, United States",True,Remote,2026-04-23 00:01:28+00:00,"director, design, support, web, travel, video, education, leader, strategy, management, lead, content, senior, operational, marketing, analytics, sales, digital nomad",18
https://remoteOK.com/remote-jobs/remote-associate-director-solutions-yipitdata-alternative-1131283,Associate Director Solutions,YipitData (Alternative),US Remote,True,Remote,2026-04-23 00:01:22+00:00,"director, technical, investment, analytics",4
https://remoteOK.com/remote-jobs/remote-technical-program-manager-platform-migration-cayuse-1131282,Technical Program Manager â Platform Migration,Cayuse,Remote,True,Remote,2026-04-23 00:01:11+00:00,"manager, technical, support, test, growth, strategy, lead, senior, operational, health, engineering",11
https://remoteOK.com/remote-jobs/remote-principal-customer-solutions-architect-caylent-1131281,Principal Customer Solutions Architect,Caylent,CANADA,True,Remote,2026-04-23 00:00:57+00:00,"architect, design, amazon, security, technical, web, cloud, lead, sales, executive, digital nomad",11
https://remoteOK.com/remote-jobs/remote-senior-security-engineer-bridgewater-associates-1131280,Senior Security Engineer,Bridgewater Associates,Remote,True,Remote,2026-04-23 00:00:46+00:00,"security, technical, recruiter, developer, software, test, code, investment, cloud, management, senior, engineer, engineering, full-time, digital nomad",15
https://remoteOK.com/remote-jobs/remote-business-development-director-connections-health-solutions-1131279,Business Development Director,Connections Health Solutions,Remote,True,Remote,2026-04-23 00:00:34+00:00,"director, medical, health",3
https://remoteOK.com/remote-jobs/remote-insurance-verifications-specialist-cranial-technologies-1131278,Insurance Verifications Specialist,Cranial Technologies,Remote,True,Remote,2026-04-23 00:00:25+00:00,full-time,1
https://remoteOK.com/remote-jobs/remote-frontend-engineer-careervillage-org-1131277,Frontend Engineer,CareerVillage.org,"Remote, United States",True,Remote,2026-04-23 00:00:16+00:00,"frontend, technical, software, code, web, engineer, backend, full-time",8
https://remoteOK.com/remote-jobs/remote-senior-account-executive-1131276,Senior Account Executive,,Remote,True,Remote,2026-04-23 00:00:05+00:00,"senior, executive",2
https://remoteOK.com/remote-jobs/remote-healthcare-account-executive-vonage-1131272,Healthcare Account Executive,Vonage,Remote,True,Remote,2026-04-22 16:00:59+00:00,"software, growth, cloud, api, leader, management, lead, sales, healthcare, executive",10
